State,County,Total_List,Cancelled,Cancelled_,Postponed,Postponed_,TotalFallout,Total_Fallout_,Pending_OutbidNC,Pending_Sales_Results,BTS_from_total_list,BTS
,San Luis Obispo,75,11,15,57,76,68,91,0,0,9.3,7
,San Mateo,122,40,33,74,61,114,93,0,0,6.6,8
,Santa Barbara,113,21,19,79,70,100,88,0,0,11.5,13
,Santa Clara,274,76,28,184,67,260,95,0,0,5.1,14
,Santa Cruz,77,14,18,54,70,68,88,0,0,11.7,9
,Shasta,119,15,13,62,52,77,65,0,0,35.3,42
,Siskiyou,20,3,15,7,35,10,50,0,0,50.0,10
,Solano,197,49,25,110,56,159,81,0,0,19.3,38
,Sonoma,92,27,29,53,58,80,87,0,0,13.0,12
,Stanislaus,269,66,25,144,54,210,78,0,0,21.9,59
,Sutter,72,9,13,46,64,55,76,0,0,23.6,17
,Tehama,40,6,15,18,45,24,60,0,0,40.0,16
,Trinity,5,0,0,3,60,3,60,0,0,40.0,2
,Tulare,226,46,20,108,48,154,68,0,0,31.9,72
,Tuolumne,22,4,18,6,27,10,45,0,0,54.5,12
,Ventura,328,70,21,236,72,306,93,0,0,6.7,22
,Yolo,51,14,27,29,57,43,84,0,0,15.7,8
,Yuba,31,8,26,17,55,25,81,0,0,19.4,6
Colorado,,1681,308,18,1141,68,1449,86,,48,13.8,232
,Adams,135,29,21,94,70,123,91,,5,8.9,12
,Arapahoe,260,39,15,208,80,247,95,,4,5.0,13
,Bent,1,0,0,,0,0,,0,0,100.0,1
,Boulder,50,14,28,31,62,45,90,,2,10.0,5
,Broomfield,12,4,33,8,67,12,100,0,0,0.0,
,Chaffee,6,0,0,4,67,4,67,0,0,33.3,2
,Clear Creek,1,0,0,1,100,1,100,0,0,0.0,
,Crowley,1,0,0,,0,0,,0,0,100.0,1
,Delta,5,1,20,0,0,1,20,0,0,80.0,4
,Denver,79,19,24,54,68,73,92,0,0,7.6,6
,Douglas,122,18,15,99,81,117,96,,1,4.1,5
,Eagle,3,0,0,1,33,1,33,0,0,66.7,2
,El Paso,364,54,15,237,65,291,80,,10,20.1,73
,Elbert,5,4,80,1,20,5,100,0,0,0.0,
,Fremont,5,2,40,2,40,4,80,0,0,20.0,1
,Garfield,36,5,14,20,56,25,69,,4,30.6,11
,Gilpin,16,1,6,15,94,16,100,0,0,0.0,
,Grand,7,1,14,6,86,7,100,0,0,0.0,
,Gunnison,11,1,9,9,82,10,91,,1,9.1,1
,Huerfano,3,2,67,0,0,2,67,0,0,33.3,1
,Jefferson,153,41,27,107,70,148,97,0,0,3.3,5
,Kit Carson,3,3,100,0,0,3,100,0,0,0.0,
,La Plata,8,3,38,2,25,5,63,,1,37.5,3
,Lake,1,0,0,,0,0,,,1,100.0,1
,Larimer,52,12,23,36,69,48,92,,1,7.7,4
,Las Animas,7,2,29,3,43,5,71,,1,28.6,2
,Logan,1,0,0,1,100,1,100,0,0,0.0,
,Mesa,64,9,14,33,52,42,66,,6,34.4,22
,Moffat,3,0,0,,0,0,,,1,100.0,3
,Montezuma,4,0,0,2,50,2,50,0,0,50.0,2
,Montrose,13,3,23,6,46,9,69,0,0,30.8,4
,Morgan,1,1,100,0,0,1,100,0,0,0.0,
,Otero,3,1,33,0,0,1,33,0,0,66.7,2
,Ouray,1,0,0,,0,0,,0,0,100.0,1
,Park,3,0,0,1,33,1,33,,1,66.7,2
,Pitkin,6,1,17,4,67,5,83,,1,16.7,1
,Pueblo,114,9,8,75,66,84,74,,6,26.3,30
